1,Kimi no Na wa.,1,"Drama, Romance, School, Supernatural",9.37
2,Fullmetal Alchemist: Brotherhood,64,"Action, Adventure, Drama, Fantasy, Magic, Military, Shounen",9.26
3,Gintama°,51,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",9.25
4,Steins;Gate,24,"Sci-Fi, Thriller",9.17
5,Gintama&#039;,51,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",9.16
6,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,10,"Comedy, Drama, School, Shounen, Sports",9.15
7,Hunter x Hunter (2011),148,"Action, Adventure, Shounen, Super Power",9.13
8,Ginga Eiyuu Densetsu,110,"Drama, Military, Sci-Fi, Space",9.11
9,Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare,1,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",9.10
10,Gintama&#039;: Enchousen,13,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",9.11
11,Clannad: After Story,24,"Drama, Fantasy, Romance, Slice of Life, Supernatural",9.06
12,Koe no Katachi,1,"Drama, School, Shounen",9.05
13,Gintama,201,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",9.04
14,Code Geass: Hangyaku no Lelouch R2,25,"Action, Drama, Mecha, Military, Sci-Fi, Super Power",8.98
15,Haikyuu!! Second Season,25,"Comedy, Drama, School, Shounen, Sports",8.93
16,Sen to Chihiro no Kamikakushi,1,"Adventure, Drama, Supernatural",8.93
17,Shigatsu wa Kimi no Uso,22,"Drama, Music, Romance, School, Shounen",8.92
18,Mushishi Zoku Shou 2nd Season,10,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",8.88
19,Ookami Kodomo no Ame to Yuki,1,"Fantasy, Slice of Life",8.84
20,Code Geass: Hangyaku no Lelouch,25,"Action, Mecha, Military, School, Sci-Fi, Super Power",8.83
21,Hajime no Ippo,75,"Comedy, Drama, Shounen, Sports",8.83
22,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,4,"Action, Drama, Historical, Martial Arts, Romance, Samurai",8.83
23,Cowboy Bebop,26,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",8.82
24,One Punch Man,12,"Action, Comedy, Parody, Sci-Fi, Seinen, Super Power, Supernatural",8.82
25,Mononoke Hime,1,"Action, Adventure, Fantasy",8.81
26,Suzumiya Haruhi no Shoushitsu,1,"Comedy, Mystery, Romance, School, Sci-Fi, Supernatural",8.81
27,Monogatari Series: Second Season,26,"Comedy, Mystery, Romance, Supernatural, Vampire",8.80
28,Mushishi Zoku Shou,10,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",8.80
29,Mushishi,26,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",8.78
30,Tengen Toppa Gurren Lagann,27,"Action, Adventure, Comedy, Mecha, Sci-Fi",8.78
31,Great Teacher Onizuka,43,"Comedy, Drama, School, Shounen, Slice of Life",8.77
32,Natsume Yuujinchou Go,13,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",8.76
33,Hajime no Ippo: New Challenger,26,"Comedy, Drama, Shounen, Sports",8.75
34,Mushishi Zoku Shou: Suzu no Shizuku,1,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",8.75
35,Natsume Yuujinchou Shi,13,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",8.75
36,Howl no Ugoku Shiro,1,"Adventure, Drama, Fantasy, Romance",8.74
37,Fate/Zero 2nd Season,12,"Action, Fantasy, Supernatural, Thriller",8.73
38,Kizumonogatari II: Nekketsu-hen,1,"Action, Mystery, Supernatural, Vampire",8.73
39,Monster,74,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",8.72
40,Bakuman. 3rd Season,25,"Comedy, Drama, Romance, Shounen",8.71
41,Death Note,37,"Mystery, Police, Psychological, Supernatural, Thriller",8.71
42,Gintama°: Aizome Kaori-hen,2,"Comedy, Parody",8.69
43,Ansatsu Kyoushitsu (TV) 2nd Season,25,"Action, Comedy, School, Shounen",8.68
44,Haikyuu!!,25,"Comedy, Drama, School, Shounen, Sports",8.68
45,Hajime no Ippo: Rising,25,"Comedy, Drama, Shounen, Sports",8.68
46,Kara no Kyoukai 5: Mujun Rasen,1,"Action, Drama, Mystery, Romance, Supernatural, Thriller",8.68
47,Natsume Yuujinchou San,13,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",8.67
48,Ping Pong The Animation,11,"Psychological, Seinen, Sports",8.67
49,Mushishi Special: Hihamukage,1,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",8.66
50,Boku dake ga Inai Machi,12,"Mystery, Psychological, Seinen, Supernatural",8.65
51,Yojouhan Shinwa Taikei,11,"Mystery, Psychological, Romance",8.65
52,Aria The Origination,13,"Fantasy, Sci-Fi, Shounen, Slice of Life",8.64
53,Kamisama Hajimemashita: Kako-hen,4,"Comedy, Demons, Fantasy, Shoujo, Supernatural",8.64
54,Rainbow: Nisha Rokubou no Shichinin,26,"Drama, Historical, Seinen, Thriller",8.64
55,Re:Zero kara Hajimeru Isekai Seikatsu,25,"Drama, Fantasy, Psychological, Thriller",8.64
56,Tengen Toppa Gurren Lagann Movie: Lagann-hen,1,"Action, Mecha, Sci-Fi, Space, Super Power",8.64
57,Zoku Natsume Yuujinchou,13,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",8.64
58,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,11,"Drama, Slice of Life, Supernatural",8.62
59,Kuroko no Basket 3rd Season,25,"Comedy, School, Shounen, Sports",8.62
60,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,1,"Sci-Fi, Thriller",8.61
61,Hotarubi no Mori e,1,"Drama, Romance, Shoujo, Supernatural",8.61
62,Shokugeki no Souma,24,"Ecchi, School, Shounen",8.61
63,Yuri!!! on Ice,12,"Comedy, Sports",8.61
64,Gintama: Yorinuki Gintama-san on Theater 2D,2,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",8.60
